Burning Cyclops, 30, 200, 3000, 3000, 100, 100
Death Guardian, 20, 100, 1000, 1000, 60, 80
Ancient Wyvern, 20, 110, 1100, 1100, 60,80
Archangel, 20, 110, 1100, 1100, 70, 70
Archedevil, 21, 120, 1200, 1200, 60, 80
Azure Goldem, 21, 100, 1500, 1500, 60, 80
Avatar's Shroom, 21, 110, 1300, 1300, 50, 70
Assassin, 20, 80, 1900, 1900, 50, 30
Baby Elemental Dragon, 20, 0, 1000, 1000, 10, 10
Baby Griffin, 20, 0, 1000, 1000, 10, 10
Barbarian Ghost, 20, 30, 2000, 2000, 40, 50
 Demonic Minotaur, 30, 300, 40000, 4000, 120, 150
 Blood Minotaur, 25, 250, 35000, 35000, 80, 90
 Dragon Hunter, 40, 400, 50000, 50000, 120, 150
Underworld Lord, 50, 700, 10000,10000, 300, 300
Soul Trapper, 28, 200, 2000, 2000, 120, 130
King Elemental Dragon, 60, 800, 12000, 12000, 400, 400
Hydra Dragon, 55, 700, 13000, 13000, 300, 400
Undead Dragon, 43, 300, 13000, 13000, 200, 300
Omega Werewolf, 48, 400, 10000, 10000, 300, 300
Tarrasque, 80, 1000, 30000, 30000, 500, 500
Kraken, 70, 800, 20000, 20000, 400, 400
Gobleader, 10, 40, 120, 120, 30, 80
Gobline Follower, 10, 38, 125, 125, 20, 80
Ice Wolf, 11, 44, 140, 140, 35, 85
Death Box, 11, 45, 200, 200, 40, 80
Hell Messenger, 12, 60, 250, 250, 60, 80
Slime, 1, 5, 20, 100, 40, 40
Fang Rat, 1, 5, 20, 100, 40, 40
Harpy, 3, 7, 30, 100, 40, 40
Goblin, 4, 10, 30, 100, 40, 40
