Slime, 1, 5, 20, 100, 5, 6
Fang Rat, 1, 5, 20, 100, 6, 5
Harpy, 3, 7, 30, 100, 15, 7
Goblin, 4, 10, 30, 100, 20, 10
Golden Goblin, 4, 20, 100,100,10,100
Zombie, 5, 12, 50, 100, 10, 10
Wisp, 5, 13, 60, 100, 20, 15
Rat,5, 14, 70, 100, 20, 17 
Thief, 6, 20, 70, 100, 100, 20, 80
Sand Viper, 6, 18, 80, 100, 21,20
Earthsould, 6, 30, 100, 120, 29, 21
Horror Box, 6, 20, 70, 100, 17, 30
Watchman of Darkness, 7, 25, 90, 110, 30, 30
Fire, 1, 10,10,100,3,3
Mandrake, 3, 5, 100, 100, 10, 12
Deathviper, 8, 35, 100, 100, 20, 35
Flame Wolf, 9, 40, 100, 130, 35, 29
Crocodino, 8, 28, 100, 120, 30, 27
Demon Soul, 10, 100, 300, 300, 50, 100
Mage Goblin, 9, 38, 100, 120, 30, 20
Sprite, 10, 0, 10, 10, 0, 0
Forest Watchman, 5, 20, 70, 100, 14, 16
